id,title,repeat_content,repeat_times,user_id
1,100万回の「I love you」　Rake,i love you,1000000,6
2,100万回のkiss　gray,kiss,1000000,6
3,百万回のありがとう　刀剣男士,ありがとう,1000000,6
4,百万回の愛してる,ソナーポケット,1000000,6
5,100万回死んだ猫,死んだ,1000000,6
6,100万回生きた猫,生きた,1000000,6
7,四字熟語,奇々怪々,100000,6
8,四字熟語,喧々諤々,100000,6
9,四字熟語,是是非非,100000,6
10,天元突破グレンラガン,無理を通して道理を蹴っ飛ばすんだよ！,1000,6
11,かぐや様は告らせたい,ドーンだYO！,1000000,6
12,鬼滅の刃,生殺与奪の権を他人に握らせるな!,1000,6
13,刃牙１,キサマ等の居る場所は既に--我々が2000年前に通過した場所だッッッ,1000,6
14,刃牙２,強くなりたくば、喰らえ!!!,100000,6
15,刃牙３,わたしは一向にかまわんッッ,100000,6
16,刃牙４,こちとら喧嘩師　いつだってたぎってる　好きなときに来な　,1000,6
17,刃牙５,まだやるかい？,100000,6
18,呪術廻戦１,噓つき…大っ嫌い　,100000,6
19,呪術廻戦２,後は頼みます　,100000,6
20,呪術廻戦３,どんな女がタイプだ？　,100000,6
21,ジョジョ１,おれたちにできない事を平然とやってのける そこにシビれる！ あこがれるゥ！,1000,6
22,ジョジョ２,な…何を言っているのかわからねーと思うが おれも 何をされたのかわからなかった…頭がどうにかなりそうだった…催眠術だとか超スピードだとかそんなチャチなもんじゃあ断じてねえ もっと恐ろしいものの片鱗を味わったぜ……　,500,6
23,ジョジョ３,無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄無駄,1000,6
24,ジョジョ４,だが断る,1000000,6
25,エヴァンゲリオン１,逃げちゃダメだ　逃げちゃダメだ　逃げちゃダメだ　,10000,6
26,エヴァンゲリオン２,あなたは死なないわ。私が守るもの　,10000,6
27,エヴァンゲリオン３,なんとかしなさいよ！バカシンジ,10000,6
28,エヴァンゲリオン４,ありがとう。君に会えて、嬉しかったよ,10000,6
29,エヴァンゲリオン５,痛い！すっげー痛いけど…面白いから、いい！,10000,6
30,エヴァンゲリオン６,この次もサービス～サービスぅ！　,10000,6
31,僕のヒーローアカデミア１,君はヒーローになれる　,100000,6
32,僕のヒーローアカデミア２,もう大丈夫　私が来た！　,100000,6
33,スラムダンク１,安西先生…!!　バスケがしたいです……　,100000,6
34,スラムダンク２,あきらめたらそこで試合終了だよ　,100000,6
35,ワンピース１,海賊王におれはなる！！！！　,1000000,6
36,ワンピース２,・・・たとえ死んでもおれは女は蹴らん・・・！！！！,10000,6
37,ワンピース３,生ぎたいっ！！！！,1000000,6
38,ワンピース４,人の夢は!!! 終わらねェ!!!!,100000,6
39,寿限無,寿限無 寿限無 五劫のすり切れ 海砂利水魚の 水行末、雲来末、風来末 食う寝るところに住むところ やぶらこうじのぶらこうじ パイポパイポパイポのシューリンガン シューリンガンのグーリンダイ グーリンダイのポンポコピーのポンポコナーの長久命の長助,1000,6
